Product_ID,Product_List_Title,Quantity,Unit_Price,Discount_Rate
536,Product 53,3,120.43682132331526,0.2
523,Product 33,6,475.7249935818949,0.0
535,Product 6,3,146.40055601470172,0.05
546,Product 68,6,19.373193554270635,0.0
556,Product 89,8,193.22131303627867,0.2
549,Product 27,8,37.72697151189065,0.05
547,Product 83,7,193.9797749485852,0.15
542,Product 13,1,486.8076309770262,0.0
533,Product 54,1,455.0319594631582,0.0
529,Product 35,8,339.62446716236,0.0
521,Product 40,1,142.0608125232136,0.0
535,Product 60,8,426.6705205487488,0.0
555,Product 97,4,144.29507877767358,0.0
524,Product 99,9,159.05737262177763,0.1
508,Product 70,6,277.8227995958245,0.15
546,Product 8,9,38.343780229108695,0.0
523,Product 88,1,380.7977818635983,0.05
510,Product 45,4,331.7974475135879,0.0
515,Product 95,2,379.5816472442196,0.1
549,Product 40,9,256.4677905033749,0.05
542,Product 84,6,184.944378545306,0.2
535,Product 63,9,160.81995752356536,0.0
548,Product 99,2,191.84533983076264,0.1
520,Product 11,1,47.71993886183348,0.0
521,Product 57,4,256.4677905033749,0.2
531,Product 54,9,344.4824383994672,0.2
537,Product 71,5,345.86750277873176,0.05
534,Product 45,8,97.83409531224756,0.0
542,Product 7,3,47.09286638179586,0.05
524,Product 84,8,373.5292002097704,0.05
528,Product 8,8,202.01109286213276,0.1
544,Product 80,1,38.465056519371394,0.15
516,Product 86,8,256.4677905033749,0.1
546,Product 26,7,476.87935833122793,0.15
526,Product 55,3,278.7253898668457,0.05
531,Product 56,3,497.8592436544529,0.15
525,Product 90,6,343.01396304020284,0.2
529,Product 7,6,323.83326066616354,0.15
538,Product 77,6,256.4677905033749,0.1
511,Product 8,3,222.07984108263997,0.0
545,Product 61,3,256.4677905033749,0.0
536,Product 31,4,42.34482362871837,0.05
546,Product 60,5,473.7636914436987,0.15
525,Product 6,8,139.3903724999222,0.2
533,Product 7,7,361.0345848594685,0.05
550,Product 76,4,163.26121471307349,0.05
501,Product 70,9,352.82338911483964,0.05
553,Product 23,6,110.29325343806914,0.2
522,Product 2,9,383.5282860054704,0.2
512,Product 9,1,294.99492356470483,0.0
552,Product 1,9,239.86253341331357,0.2
560,Product 82,7,334.89312398367696,0.1
519,Product 63,7,389.9196136975364,0.05
516,Product 96,8,340.2571619914079,0.1
560,Product 17,2,388.83951822014905,0.05
556,Product 42,7,474.0744268831744,0.05
535,Product 93,5,319.87174892090985,0.2
502,Product 38,9,276.68444339571187,0.05
522,Product 6,1,181.7550618002193,0.1
503,Product 99,1,451.4708388883293,0.1
524,Product 12,5,256.4677905033749,0.05
520,Product 33,8,146.147860283959,0.0
556,Product 10,8,391.76026733393553,0.05
508,Product 19,1,348.5331485099032,0.0
515,Product 92,6,275.0434518806596,0.05
514,Product 52,1,199.94791467326704,0.15
506,Product 73,4,249.36286000335363,0.0
521,Product 50,9,36.77086580047643,0.0
544,Product 72,5,256.4677905033749,0.1
530,Product 18,4,316.18830880742945,0.15
547,Product 78,2,460.0289517512503,0.15
502,Product 11,7,316.0608835761205,0.0
531,Product 78,4,341.2528811457483,0.2
526,Product 37,8,322.4672409790084,0.1
560,Product 25,4,78.75901391482235,0.2
554,Product 92,2,167.36945479161722,0.15
515,Product 49,2,441.2768015815277,0.15
506,Product 20,6,328.167939042672,0.0
522,Product 20,6,206.9247279464577,0.15
510,Product 74,5,400.3738846237724,0.05
521,Product 78,6,356.78346163108847,0.15
538,Product 23,9,64.38906840774428,0.05
535,Product 59,5,280.72547402986567,0.0
521,Product 11,7,118.95703932660344,0.0
532,Product 18,3,428.35461163528686,0.05
557,Product 47,1,498.6465709527653,0.2
552,Product 72,3,381.08200149587503,0.05
529,Product 81,9,17.404235265092765,0.05
523,Product 52,5,425.22008597997313,0.15
516,Product 41,4,480.7072180014679,0.1
537,Product 39,4,210.61191519033895,0.2
506,Product 41,6,333.8969845811869,0.0
527,Product 1,8,446.20535129172544,0.2
549,Product 27,5,265.4350633505281,0.0
551,Product 47,6,158.43614376381032,0.15
510,Product 1,8,436.9928767535186,0.15
510,Product 59,3,183.66822490859687,0.0
539,Product 62,5,139.6711631934251,0.05
507,Product 98,3,61.64267687282456,0.1
502,Product 21,2,395.2407696079184,0.05
528,Product 35,6,97.88444504172809,0.15
542,Product 73,7,118.21786365187435,0.05
557,Product 67,3,482.8575310326912,0.0
526,Product 3,1,225.2131946123615,0.2
526,Product 86,3,103.88054341006465,0.0
525,Product 70,4,384.57595675699713,0.0
530,Product 50,9,36.140518524559866,0.0
538,Product 73,4,102.38489681713304,0.1
518,Product 28,1,256.4677905033749,0.15
537,Product 16,7,264.1634872464916,0.0
536,Product 36,9,447.3535314683725,0.2
540,Product 7,8,45.17014505099139,0.05
558,Product 16,6,148.42307232669762,0.15
547,Product 53,9,488.7334076750823,0.2
530,Product 46,4,256.4677905033749,0.15
512,Product 2,4,439.9603228606961,0.15
534,Product 9,3,495.4327869622253,0.0
523,Product 73,3,97.83524983481712,0.1
505,Product 58,5,110.6131399663319,0.1
544,Product 17,9,423.2298222160628,0.0
544,Product 67,9,446.5192121417419,0.2
536,Product 6,3,130.9436959089321,0.2
525,Product 92,9,14.889600562640194,0.1
511,Product 65,5,154.69772401019807,0.0
544,Product 44,4,308.7517383247818,0.05
506,Product 3,1,256.4677905033749,0.0
524,Product 30,7,250.6369073977509,0.0
550,Product 37,6,17.543496928741153,0.2
545,Product 98,9,327.6758236515268,0.1
528,Product 14,7,467.02814898505306,0.1
530,Product 20,1,401.1636666325015,0.05
529,Product 37,2,256.4677905033749,0.0
538,Product 16,9,394.03174302686585,0.2
519,Product 52,9,20.73753109975439,0.1
544,Product 46,7,483.7542949016498,0.15
551,Product 80,7,439.18271092335794,0.1
525,Product 37,9,311.9872381036048,0.0
542,Product 74,2,256.4677905033749,0.0
531,Product 85,5,256.4677905033749,0.0
552,Product 60,7,256.4677905033749,0.0
547,Product 59,6,164.6573984440415,0.15
538,Product 76,3,433.5722909654984,0.2
510,Product 1,5,314.0321546754656,0.0
504,Product 47,3,256.4677905033749,0.0
532,Product 95,4,11.871762102705723,0.15
541,Product 31,3,153.26772410197464,0.2
530,Product 95,5,480.4664461586692,0.1
514,Product 77,9,285.4156692572598,0.1
516,Product 21,9,404.20237479159294,0.0
504,Product 32,2,221.84965093764015,0.1
560,Product 93,3,256.4677905033749,0.2
506,Product 4,2,312.22396784774514,0.15
541,Product 25,3,448.71958368505295,0.0
532,Product 60,9,169.39461567128524,0.1
549,Product 13,4,262.35277325776434,0.0
550,Product 35,5,476.1973782143273,0.15
